iter	Logloss
0	0.6426662452
1	0.5968319918
2	0.5601723749
3	0.5258888405
4	0.4960903373
5	0.4708584924
6	0.4503400179
7	0.4295069076
8	0.4122318808
9	0.3967982668
10	0.3856813148
11	0.3754125237
12	0.3668900753
13	0.3595067251
14	0.3502737619
15	0.3449547077
16	0.3398326468
17	0.333116739
18	0.327990969
19	0.3245416908
20	0.3213671959
21	0.3189474605
22	0.3166410307
23	0.3144255094
24	0.3125555377
25	0.3108632177
26	0.3087124446
27	0.3070673148
28	0.3058243989
29	0.3045702834
30	0.3043286356
31	0.3025810349
32	0.3004559087
33	0.2986753032
34	0.2985997015
35	0.2979022017
36	0.2972837333
37	0.2963219462
38	0.2958206059
39	0.2955685395
40	0.2950798877
41	0.2944960449
42	0.2941012136
43	0.2939822619
44	0.2935496852
45	0.2934168284
46	0.2933952348
47	0.2925765394
48	0.2920636639
49	0.2917720359
50	0.2915043843
51	0.2912225279
52	0.2909968211
53	0.2909731897
54	0.2907049858
55	0.2906635555
56	0.2906109426
57	0.2903831416
58	0.2901781084
59	0.289479846
60	0.2892672578
61	0.2888265864
62	0.2885948562
63	0.2884567333
64	0.288299663
65	0.2881476979
66	0.2879717939
67	0.2878920132
68	0.287841424
69	0.2876911224
70	0.2875541403
71	0.2870850098
72	0.2869747578
73	0.2868445679
74	0.2867368801
75	0.2865978124
76	0.286525325
77	0.2864150402
78	0.2863159073
79	0.2862140657
80	0.2861215475
81	0.2860484956
82	0.2857942804
83	0.2856582618
84	0.2855722546
85	0.2854805464
86	0.2853904763
87	0.2853266743
88	0.2852864622
89	0.2852293709
90	0.2851586637
91	0.2850813646
92	0.2847711596
93	0.2846889093
94	0.2845439502
95	0.2844933744
96	0.2844185336
97	0.2843360792
98	0.2840890729
99	0.2840420024
100	0.2840318721
101	0.2839399916
102	0.2838691157
103	0.283823464
104	0.2837588487
105	0.283600982
106	0.2835139649
107	0.2834807029
108	0.2834065871
109	0.2833059451
110	0.2832633601
111	0.283221754
112	0.2831448463
113	0.2831367144
114	0.2830986807
115	0.2830774041
116	0.2830320295
117	0.2829982623
118	0.2829394801
119	0.282885584
120	0.2825310007
121	0.2822706555
122	0.2822264288
123	0.2821003065
124	0.2816908559
125	0.2815814944
126	0.2815502798
127	0.2814998642
128	0.2814663744
129	0.2814208636
130	0.2813740726
131	0.2813200381
132	0.2812518188
133	0.2810075304
134	0.2809157548
135	0.2808968208
136	0.2808409029
137	0.2807950783
138	0.2806840803
139	0.280574808
140	0.2805337774
141	0.2804943072
142	0.2804708759
143	0.2804265826
144	0.2803947368
145	0.2803930531
146	0.2802774941
147	0.2802523467
148	0.2802433236
149	0.2801972465
150	0.280161763
151	0.2801466188
152	0.2800482471
153	0.2800025568
154	0.2799567924
155	0.2799069784
156	0.2798885065
157	0.2798773913
158	0.2798263414
159	0.2797546308
160	0.2797319843
161	0.2796902255
162	0.2796504614
163	0.2796163456
164	0.2795936363
165	0.2795277792
166	0.2794921473
167	0.2794423523
168	0.2793989285
169	0.2793653895
170	0.2793314406
171	0.2792973158
172	0.2792620124
173	0.2792318309
174	0.2792226947
175	0.2791981485
176	0.2791859227
177	0.2791659492
178	0.2791194119
179	0.2791194071
180	0.2790583461
181	0.2790392713
182	0.2790317011
183	0.2788333877
184	0.2787980786
185	0.2787713137
186	0.2787029325
187	0.2786481265
188	0.2786274181
189	0.2786045546
190	0.2785675446
191	0.2785324418
192	0.2784963097
193	0.2784508975
194	0.2783438573
195	0.278314011
196	0.278256748
197	0.278233688
198	0.2782041674
199	0.2781746939
200	0.2781437731
201	0.2781299211
202	0.2780577182
203	0.2780254832
204	0.2780068346
205	0.2779785781
206	0.2779105096
207	0.2778870512
208	0.2778078356
209	0.2777181715
